DATE,IR
2013-01-01,140.1
2013-02-01,141.3
2013-03-01,141.2
2013-04-01,140.2
2013-05-01,139.4
2013-06-01,138.8
2013-07-01,138.9
2013-08-01,139.4
2013-09-01,139.8
2013-10-01,138.9
2013-11-01,137.7
2013-12-01,137.8
2014-01-01,138.3
2014-02-01,139.8
2014-03-01,140.5
2014-04-01,139.7
2014-05-01,140.1
2014-06-01,140.5
2014-07-01,140.1
2014-08-01,139.0
2014-09-01,137.9
2014-10-01,136.0
2014-11-01,133.5
2014-12-01,130.1
2015-01-01,126.0
2015-02-01,125.5
2015-03-01,125.3
2015-04-01,125.1
2015-05-01,126.5
2015-06-01,126.6
2015-07-01,125.4
2015-08-01,123.2
2015-09-01,121.9
2015-10-01,121.5
2015-11-01,120.8
2015-12-01,119.3
2016-01-01,117.8
2016-02-01,117.2
2016-03-01,117.7
2016-04-01,118.5
2016-05-01,119.9
2016-06-01,120.7
2016-07-01,120.8
2016-08-01,120.5
2016-09-01,120.6
2016-10-01,121.2
2016-11-01,121.1
2016-12-01,121.6
2017-01-01,122.3
2017-02-01,122.7
2017-03-01,122.5
2017-04-01,122.8
2017-05-01,122.7
2017-06-01,122.4
2017-07-01,122.2
2017-08-01,122.9
2017-09-01,123.9
2017-10-01,124.1
2017-11-01,125.3
2017-12-01,125.5
2018-01-01,126.5
2018-02-01,126.8
2018-03-01,126.5
2018-04-01,127.1
2018-05-01,128.2
2018-06-01,128.2
2018-07-01,128.1
2018-08-01,127.6
2018-09-01,127.7
2018-10-01,128.3
2018-11-01,126.2
2018-12-01,124.4
2019-01-01,124.6
2019-02-01,125.9
2019-03-01,126.6
2019-04-01,126.8
2019-05-01,127.0
2019-06-01,125.6
2019-07-01,125.6
2019-08-01,124.9
2019-09-01,125.0
2019-10-01,124.5
2019-11-01,124.7
2019-12-01,125.0
2020-01-01,125.2
2020-02-01,124.3
2020-03-01,121.3
2020-04-01,118.2
2020-05-01,119.0
2020-06-01,120.6
2020-07-01,122.1
2020-08-01,123.2
2020-09-01,123.4
2020-10-01,123.3
2020-11-01,123.4
2020-12-01,124.6
2021-01-01,126.5
2021-02-01,128.0
2021-03-01,129.9
2021-04-01,131.1
2021-05-01,132.8
2021-06-01,134.2
2021-07-01,134.6
2021-08-01,134.3
2021-09-01,134.9
2021-10-01,136.9
2021-11-01,137.9
2021-12-01,137.4
2022-01-01,140.1
2022-02-01,142.6
2022-03-01,146.8
2022-04-01,147.5
2022-05-01,148.2
2022-06-01,148.5
2022-07-01,146.4
2022-08-01,144.6
2022-09-01,143.0
2022-10-01,142.7
